source_genesymbol	target_genesymbol	regulation	source
RAPGEF4	RAP1B	1	SIGNOR
TFAP2B	TP53	1	SIGNOR
RAPGEF5	NRAS	1	SIGNOR
RAPGEF5	HRAS	1	SIGNOR
RAPGEF5	KRAS	1	SIGNOR
RAPGEF5	RAP1A	1	SIGNOR
NR4A3	BCL2	-1	SIGNOR
GTF3A	_CRCP_POLR1C_POLR1D_POLR2E_POLR2F_POLR2H_POLR2K_POLR2L_POLR3A_POLR3B_POLR3C_POLR3D_POLR3E_POLR3F_POLR3G_POLR3H_POLR3K	1	SIGNOR
DPF2	ESRRA	-1	SIGNOR
DPF2	RUNX1	-1	SIGNOR
DPF2	NFKB1_RELA	1	SIGNOR
DPF2	ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1	1	SIGNOR
KAT5	SRSF2	-1	SIGNOR
KAT5	MYOD1	1	SIGNOR
KAT5	NOTCH1	-1	SIGNOR
DVL3	PLCB1	1	SIGNOR
WNT8B	LRP6	1	SIGNOR
WNT8B	FZD3	1	SIGNOR
PHF21A	KDM1A	-1	SIGNOR
TSC22D3	RELA	-1	SIGNOR
TSC22D3	FOXO1	-1	SIGNOR
PAWR	WT1	-1	SIGNOR
ZNF462	PBX1	-1	SIGNOR
ZFP91	MAP3K14	1	SIGNOR
ZNF521	EBF1	-1	SIGNOR
TSC22D3	NFKB1_RELA	-1	SIGNOR
FIZ1	CRX	-1	SIGNOR
FIZ1	NRL	-1	SIGNOR
SETDB2	H3-3A	1	SIGNOR
SETDB2	H3-4	1	SIGNOR
CDC5L	HNRNPM	1	SIGNOR
TSC22D3	FOXO4	-1	SIGNOR
TSC22D3	FOXO3	-1	SIGNOR
PHB2	MYOD1	-1	SIGNOR
PHB2	MEF2A	-1	SIGNOR
ETS1	GFI1	-1	SIGNOR
GFI1	ETS1	-1	SIGNOR
GFI1	SPI1	-1	SIGNOR
KLF16	SIN3A	1	SIGNOR
ZBP1	RIPK3	1	SIGNOR
ADNP	CTNNB1	1	SIGNOR
ADNP	CTCF	-1	SIGNOR
ADNP	MAP1LC3B	1	SIGNOR
ADNP	ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1	1	SIGNOR
SOX17	CTNNB1	-1	SIGNOR
PRDM16	SKI	1	SIGNOR
PRDM16	PPARG	1	SIGNOR
PATZ1	RNF4	-1	SIGNOR
RERE	NOTCH1	1	SIGNOR
RERE	BAX	1	SIGNOR
LHX3	ISL1	1	SIGNOR
LHX3	ISL2	1	SIGNOR
BAZ2B	H3C8	-1	SIGNOR
BAZ2B	H3-3A	-1	SIGNOR
BAZ2B	H3-4	-1	SIGNOR
BAZ2B	H3-2	-1	SIGNOR
BAZ2B	H3-5	-1	SIGNOR
BAZ2B	H3C15	-1	SIGNOR
LEF1	ALX4	1	SIGNOR
ANAPC2	DVL1	-1	SIGNOR
CASP8AP2	NFKB1	1	SIGNOR
CASP8AP2	NFKB1_RELA	1	SIGNOR
ZHX1	ZMYND11	-1	SIGNOR
MYT1L	SIN3B	1	SIGNOR
AKAP8L	DHX9	1	SIGNOR
COPS3	SOS1	1	SIGNOR
SATB2	TP63	-1	SIGNOR
FOXA2	OTX2	-1	SIGNOR
KLF13	SIN3A	1	SIGNOR
NCOR2	BCL6	1	SIGNOR
NCOR2	SPEN	1	SIGNOR
RELA	CREBBP_EP300	1	SIGNOR
KLF4	PBX1	1	SIGNOR
KLF4	MEIS2	1	SIGNOR
SOX4	CTNNB1	1	SIGNOR
THRB	GATA2	-1	SIGNOR
THRA	GATA2	-1	SIGNOR
NCOA2	AR	1	SIGNOR
TP53	G6PD	-1	SIGNOR
KAT5	CHKA	1	SIGNOR
CEBPB	CREB1	1	SIGNOR
GRM6	GNAS	1	SIGNOR
CUL3	TNFAIP1	1	SIGNOR
DVL1	APC_AXIN1_GSK3B	-1	SIGNOR
DVL2	APC_AXIN1_GSK3B	1	SIGNOR
BACH1	MAFK	1	SIGNOR
KLF11	SIN3A	1	SIGNOR
MSC	TCF3	-1	SIGNOR
NKX3-1	HDAC1	-1	SIGNOR
RELA	SP1	1	SIGNOR
RGS6	ITGB3	-1	SIGNOR
SOX6	CTNNB1	-1	SIGNOR
SRF	IL6	1	SIGNOR
STAT1	RELA	-1	SIGNOR
TFAP4	SP1	1	SIGNOR
ZIC3	GLI3	1	SIGNOR
SMAD9	SMAD4	1	SIGNOR
DVL2	AXIN1	1	SIGNOR
ATXN7	CRX	-1	SIGNOR
MTA1	ARNTL_CLOCK	1	SIGNOR
PAX7	ASH2L_DPY30_KMT2A_RBBP5_WDR5	1	SIGNOR
IRF4	IRF5	-1	SIGNOR
RUNX1	CHUK_IKBKB_IKBKG	-1	SIGNOR
SETBP1	SET	1	SIGNOR
SMAD7	TAB3	1	SIGNOR
ZFP36	EIF4E2_GIGYF1	1	SIGNOR
ZFP36	EIF4E2_GIGYF2	1	SIGNOR
TP53	RPS6KA1	1	SIGNOR
CLOCK	MAGEL2	-1	SIGNOR
DRAP1	BTAF1	1	SIGNOR
CHD2	MYOD1	1	SIGNOR
DLX2	MSX2	-1	SIGNOR
FBN1	EFEMP2	-1	SIGNOR
HMGB1	AGER	1	SIGNOR
TP53	CREBBP_EP300	1	SIGNOR
DVL1	APC	-1	SIGNOR
JUN	SMAD4	1	SIGNOR
ESR1	PIK3CA_PIK3R1	1	SIGNOR
MET	GRB2	1	SIGNOR
HMGB1	HOXC6	1	SIGNOR
HMGB1	HOXB1	1	SIGNOR
IRF1	IRF8	1	SIGNOR
BMP2	BMPR1A_BMPR1B_BMPR2	1	SIGNOR
SKI	SMAD1	-1	SIGNOR
SKIL	SMAD1	-1	SIGNOR
HMGB1	HOXB3	1	SIGNOR
HMGB1	HOXD10	1	SIGNOR
EGR1	PITX1	1	SIGNOR
EGR1	SF1	1	SIGNOR
MAF	MYB	-1	SIGNOR
MAF	ETS1	-1	SIGNOR
PAX7	KMT2A	1	SIGNOR
PAX3	LEF1	1	SIGNOR
GATA2	ETV2	1	SIGNOR
GATA3	CEBPB	-1	SIGNOR
GATA3	CEBPA	-1	SIGNOR
HMGB2	POU2F2	1	SIGNOR
ZFP36	MYOD1	-1	SIGNOR
MET	PTK2	1	SIGNOR
MYOD1	SMARCA4	1	SIGNOR
MYOG	FBXO32	-1	SIGNOR
PCSK6	VWF	1	SIGNOR
MECP2	SST	1	SIGNOR
MECP2	GPRIN1	1	SIGNOR
HMGA2	E4F1	-1	SIGNOR
PRRX1	MAFG	-1	SIGNOR
PRRX1	MAFK	-1	SIGNOR
PRRX1	MAF	-1	SIGNOR
RAG1	MTOR	1	SIGNOR
MAX	MXI1	1	SIGNOR
RPA2	MRE11	1	SIGNOR
RPA2	ATRIP	1	SIGNOR
